period,wallet_name,wallet_address,wallet_avatar,account_name,win,loss,pnl_usd,pnl_sol,telegram,twitter
1,Joji,525LueqAyZJueCoiisfWy6nyh4MTvmF4X9jSqi6efXJT,https://cdn.kolscan.io/profiles/525LueqAyZJueCoiisfWy6nyh4MTvmF4X9jSqi6efXJT.png,525Lue,1,8,"($46,806.1)",+262.67 Sol,https://t.me/jojiinnercircle,https://x.com/metaversejoji
1,Jijo,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,https://cdn.kolscan.io/profiles/4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk.png,4BdKax,18,6,"($13,942.7)",+78.24 Sol,https://t.me/jijosjournal,https://x.com/jijo_exe
1,West,JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN,https://cdn.kolscan.io/profiles/JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN.png,JDd3hy,21,32,"($13,887.7)",+77.94 Sol,,https://x.com/ratwizardx
1,Latuche,GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65,https://cdn.kolscan.io/profiles/GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65.png,GJA1HE,20,36,"($12,663.9)",+71.07 Sol,,https://x.com/Latuche95
1,Kadenox,3pZ59YENxDAcjaKa3sahZJBcgER4rGYi4v6BpPurmsGj,https://cdn.kolscan.io/profiles/3pZ59YENxDAcjaKa3sahZJBcgER4rGYi4v6BpPurmsGj.png,3pZ59Y,44,59,"($11,932.2)",+66.96 Sol,,https://x.com/kadenox
1,dv,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,https://cdn.kolscan.io/profiles/BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd.png,BCagck,125,143,"($10,819.8)",+60.72 Sol,,https://x.com/vibed333
1,Heyitsyolo,Av3xWHJ5EsoLZag6pr7LKbrGgLRTaykXomDD5kBhL9YQ,https://cdn.kolscan.io/profiles/Av3xWHJ5EsoLZag6pr7LKbrGgLRTaykXomDD5kBhL9YQ.png,Av3xWH,57,36,"($10,489.1)",+58.86 Sol,,https://x.com/Heyitsyolotv
1,Smokez,5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,https://cdn.kolscan.io/profiles/5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz.png,5t9xBN,18,9,"($9,224.4)",+51.77 Sol,,https://x.com/SmokezXBT
1,S,ApRnQN2HkbCn7W2WWiT2FEKvuKJp9LugRyAE1a9Hdz1,https://cdn.kolscan.io/profiles/ApRnQN2HkbCn7W2WWiT2FEKvuKJp9LugRyAE1a9Hdz1.png,ApRnQN,11,24,"($9,219.9)",+51.74 Sol,,https://x.com/runitbackghost
1,Beaver,GM7Hrz2bDq33ezMtL6KGidSWZXMWgZ6qBuugkb5H8NvN,https://cdn.kolscan.io/profiles/GM7Hrz2bDq33ezMtL6KGidSWZXMWgZ6qBuugkb5H8NvN.png,GM7Hrz,2,0,"($5,613.8)",+31.50 Sol,,https://x.com/beaverd
1,LJC,6HJetMbdHBuk3mLUainxAPpBpWzDgYbHGTS2TqDAUSX2,https://cdn.kolscan.io/profiles/6HJetMbdHBuk3mLUainxAPpBpWzDgYbHGTS2TqDAUSX2.png,6HJetM,10,17,"($3,814.5)",+21.41 Sol,https://t.me/LJCcabals,https://x.com/OnlyLJC
1,Mr. Frog,4DdrfiDHpmx55i4SPssxVzS9ZaKLb8qr45NKY9Er9nNh,https://cdn.kolscan.io/profiles/4DdrfiDHpmx55i4SPssxVzS9ZaKLb8qr45NKY9Er9nNh.png,4Ddrfi,16,5,"($3,561.4)",+19.99 Sol,,https://x.com/TheMisterFrog
1,Groovy,34ZEH778zL8ctkLwxxERLX5ZnUu6MuFyX9CWrs8kucMw,https://cdn.kolscan.io/profiles/34ZEH778zL8ctkLwxxERLX5ZnUu6MuFyX9CWrs8kucMw.png,34ZEH7,27,19,"($3,561.0)",+19.98 Sol,,https://x.com/0xGroovy
1,Classic,DsqRyTUh1R37asYcVf1KdX4CNnz5DKEFmnXvgT4NfTPE,https://cdn.kolscan.io/profiles/DsqRyTUh1R37asYcVf1KdX4CNnz5DKEFmnXvgT4NfTPE.png,DsqRyT,22,18,"($3,493.3)",+19.60 Sol,https://t.me/mrclassiccalls,https://x.com/simplyclassic69
1,ozark,DZAa55HwXgv5hStwaTEJGXZz1DhHejvpb7Yr762urXam,https://cdn.kolscan.io/profiles/DZAa55HwXgv5hStwaTEJGXZz1DhHejvpb7Yr762urXam.png,DZAa55,18,22,"($3,322.0)",+18.64 Sol,,https://x.com/ohzarke
1,Letterbomb,BtMBMPkoNbnLF9Xn552guQq528KKXcsNBNNBre3oaQtr,https://cdn.kolscan.io/profiles/BtMBMPkoNbnLF9Xn552guQq528KKXcsNBNNBre3oaQtr.png,BtMBMP,87,76,"($2,700.3)",+15.15 Sol,,https://x.com/ihateoop
